Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,66.559998,68.540001,66.559998,68.290001,68.218811,5044900
2020-08-26,68.290001,68.739998,65.800003,66.430000,66.360756,6922800
2020-08-27,66.900002,67.290001,65.519997,66.290001,66.220901,3476300
2020-08-28,66.800003,67.980003,66.089996,67.190002,67.119965,3854100
2020-08-31,67.120003,67.120003,64.620003,64.620003,64.552643,8068200
2020-09-01,65.699997,67.099998,65.190002,66.930000,66.860237,3969000
2020-09-02,67.199997,68.129997,65.940002,66.809998,66.740356,5319900
2020-09-03,66.699997,67.220001,63.400002,64.430000,64.362839,6817200
2020-09-04,65.000000,65.150002,61.869999,64.489998,64.422768,7377000
2020-09-08,64.190002,64.190002,62.599998,63.000000,62.934330,4942200
2020-09-09,63.509998,65.470001,63.259998,64.930000,64.862312,4603000
2020-09-10,64.900002,64.900002,62.419998,62.419998,62.354935,4235200
2020-09-11,63.070000,64.419998,61.630001,62.090000,62.025276,7254300
2020-09-14,63.000000,63.790001,62.610001,63.330002,63.263988,3330300
2020-09-15,63.700001,64.489998,62.939999,64.080002,64.013206,3882100
2020-09-16,64.239998,65.250000,62.939999,62.939999,62.874393,4405500
2020-09-17,62.349998,63.150002,62.000000,62.820000,62.754517,2864900
2020-09-18,62.299999,63.450001,61.759998,61.990002,61.925385,5995500
2020-09-21,61.299999,63.779999,60.750000,63.400002,63.333916,5056900
2020-09-22,63.630001,65.239998,63.209999,64.620003,64.552643,5023600
2020-09-23,64.839996,65.830002,62.500000,62.500000,62.434849,4899000
2020-09-24,62.509998,65.120003,62.509998,64.489998,64.422768,5067600
2020-09-25,63.810001,64.269997,63.099998,64.250000,64.183022,3089500
2020-09-28,65.099998,66.110001,62.590000,62.889999,62.858166,7497000
2020-09-29,63.000000,65.059998,62.610001,64.940002,64.907135,6823500
2020-09-30,65.209999,65.720001,64.000000,65.699997,65.666740,6374500
2020-10-01,65.839996,66.900002,64.940002,66.900002,66.866142,5192300
2020-10-02,66.480003,67.379997,65.800003,67.050003,67.016068,5795200
2020-10-05,67.250000,70.180000,67.120003,70.180000,70.144478,7236300
2020-10-06,70.410004,72.290001,70.300003,71.480003,71.443825,7761600
2020-10-07,71.779999,74.190002,71.680000,73.169998,73.132965,7759000
2020-10-08,73.360001,75.559998,73.320000,75.180000,75.141945,7218300
2020-10-09,74.940002,77.180000,74.550003,76.900002,76.861076,5789300
2020-10-13,77.879997,79.470001,77.349998,79.150002,79.109940,6076300
2020-10-14,79.260002,80.980003,79.260002,80.580002,80.539215,6618700
2020-10-15,79.639999,81.279999,78.099998,80.769997,80.729111,6125200
2020-10-16,81.059998,83.360001,80.910004,82.050003,82.008469,6411700
2020-10-19,83.010002,83.809998,81.110001,82.059998,82.018463,5843800
2020-10-20,82.900002,83.949997,81.470001,83.550003,83.507713,6467500
2020-10-21,87.000000,87.209999,78.309998,78.400002,78.360321,20608300
2020-10-22,79.650002,82.680000,78.449997,82.110001,82.068443,13136300
2020-10-23,82.250000,83.260002,80.639999,81.669998,81.628662,8096400
2020-10-26,81.489998,83.989998,81.250000,82.750000,82.708115,6316900
2020-10-27,82.970001,84.339996,82.540001,83.239998,83.197868,6747900
2020-10-28,82.000000,82.690002,79.050003,79.139999,79.099945,8129800
2020-10-29,79.400002,81.599998,79.320000,80.029999,79.989494,8871600
2020-10-30,80.330002,80.739998,75.830002,75.830002,75.791618,9597700
2020-11-03,77.989998,78.830002,76.120003,77.320000,77.280861,9036900
2020-11-04,78.540001,82.489998,78.040001,82.199997,82.158394,7450100
2020-11-05,83.900002,85.750000,83.699997,85.750000,85.706596,8740800
2020-11-06,84.779999,85.580002,83.220001,84.000000,83.957481,5857100
2020-11-09,86.000000,86.269997,81.720001,82.129997,82.088425,7606200
2020-11-10,82.449997,82.540001,79.029999,79.029999,78.989998,8353900
2020-11-11,79.029999,80.709999,78.540001,80.589996,80.549202,4543600
2020-11-12,80.519997,81.849998,80.139999,80.800003,80.759102,5060700
2020-11-13,81.430000,83.389999,81.330002,82.870003,82.828056,4505900
2020-11-16,83.459999,83.540001,80.510002,81.580002,81.538712,3768300
2020-11-17,81.400002,81.739998,80.150002,81.690002,81.648651,3155200
2020-11-18,81.550003,82.500000,80.580002,81.089996,81.048950,3398500
2020-11-19,80.650002,81.550003,80.389999,80.930000,80.889038,2291900
2020-11-23,80.330002,80.500000,78.510002,78.510002,78.470261,3468200
2020-11-24,78.589996,78.589996,76.769997,76.940002,76.901062,5271400
2020-11-25,76.910004,78.400002,76.900002,77.320000,77.280861,3524600
2020-11-26,77.330002,78.209999,77.010002,77.699997,77.660667,1857100
2020-11-27,77.970001,78.709999,76.800003,77.000000,76.961029,3286900
2020-11-30,77.230003,77.400002,73.570000,73.570000,73.532761,10524700
2020-12-01,73.849998,75.580002,73.300003,73.599998,73.562744,6425200
2020-12-02,74.500000,74.500000,71.820000,73.230003,73.192940,6208200
2020-12-03,73.300003,74.989998,73.150002,73.930000,73.892578,5158100
2020-12-04,74.099998,74.400002,71.800003,71.800003,71.763664,6597200
2020-12-07,71.989998,73.459999,70.699997,71.610001,71.573753,6428800
2020-12-08,72.070000,72.760002,71.279999,72.699997,72.663200,4669300
2020-12-09,72.699997,73.099998,70.709999,71.000000,70.964066,3200100
2020-12-10,71.220001,71.870003,69.500000,71.000000,70.964066,4951300
2020-12-11,70.800003,71.230003,70.000000,71.000000,70.964066,2761600
2020-12-14,71.379997,71.790001,70.209999,70.550003,70.514290,2911200
2020-12-15,70.550003,72.800003,68.300003,72.750000,72.713173,8882400
2020-12-16,73.160004,73.989998,72.339996,73.300003,73.262901,8112900
